"ensembl_gene_id"	"hgnc_symbol"	"entrezgene"
"1"	"ENSG00000210049"	"MT-TF"	NA
"2"	"ENSG00000211459"	"MT-RNR1"	4549
"3"	"ENSG00000210077"	"MT-TV"	NA
"4"	"ENSG00000210082"	"MT-RNR2"	4550
"5"	"ENSG00000209082"	"MT-TL1"	NA
"6"	"ENSG00000198888"	"MT-ND1"	4535
"7"	"ENSG00000210100"	"MT-TI"	NA
"8"	"ENSG00000210107"	"MT-TQ"	NA
"9"	"ENSG00000210112"	"MT-TM"	NA
"10"	"ENSG00000198763"	"MT-ND2"	4536
"11"	"ENSG00000210117"	"MT-TW"	NA
"12"	"ENSG00000210127"	"MT-TA"	NA
"13"	"ENSG00000210135"	"MT-TN"	NA
"14"	"ENSG00000210140"	"MT-TC"	NA
"15"	"ENSG00000210144"	"MT-TY"	NA
"16"	"ENSG00000198804"	"MT-CO1"	4512
"17"	"ENSG00000210151"	"MT-TS1"	NA
"18"	"ENSG00000210154"	"MT-TD"	NA
"19"	"ENSG00000198712"	"MT-CO2"	4513
"20"	"ENSG00000210156"	"MT-TK"	NA
"21"	"ENSG00000228253"	"MT-ATP8"	4509
"22"	"ENSG00000198899"	"MT-ATP6"	4508
"23"	"ENSG00000198938"	"MT-CO3"	4514
"24"	"ENSG00000210164"	"MT-TG"	NA
"25"	"ENSG00000198840"	"MT-ND3"	4537
"26"	"ENSG00000210174"	"MT-TR"	NA
"27"	"ENSG00000212907"	"MT-ND4L"	4539
"28"	"ENSG00000198886"	"MT-ND4"	4538
"29"	"ENSG00000210176"	"MT-TH"	NA
"30"	"ENSG00000210184"	"MT-TS2"	NA
"31"	"ENSG00000210191"	"MT-TL2"	NA
"32"	"ENSG00000198786"	"MT-ND5"	4540
"33"	"ENSG00000198695"	"MT-ND6"	4541
"34"	"ENSG00000210194"	"MT-TE"	NA
"35"	"ENSG00000198727"	"MT-CYB"	4519
"36"	"ENSG00000210195"	"MT-TT"	NA
"37"	"ENSG00000210196"	"MT-TP"	NA
"38"	"ENSG00000253620"	""	NA
"39"	"ENSG00000232475"	"HSFY5P"	NA
"40"	"ENSG00000260949"	""	NA
"41"	"ENSG00000223968"	""	NA
"42"	"ENSG00000258712"	"CXADRP2"	NA
"43"	"ENSG00000223475"	""	NA
"44"	"ENSG00000226908"	"HIST1H2BPS3"	NA
"45"	"ENSG00000254040"	""	NA
"46"	"ENSG00000184661"	"CDCA2"	157313
"47"	"ENSG00000197990"	"ZNF734P"	NA
"48"	"ENSG00000254266"	"PKIA-AS1"	101927003
"49"	"ENSG00000237208"	""	101928495
"50"	"ENSG00000009954"	"BAZ1B"	9031
"51"	"ENSG00000131386"	"GALNT15"	117248
"52"	"ENSG00000136999"	"NOV"	4856
"53"	"ENSG00000272173"	""	NA
"54"	"ENSG00000134291"	"TMEM106C"	79022
"55"	"ENSG00000238358"	""	NA
"56"	"ENSG00000240990"	"HOXA11-AS"	221883
"57"	"ENSG00000258001"	""	NA
"58"	"ENSG00000278389"	""	NA
"59"	"ENSG00000230441"	"UBQLN1P1"	NA
"60"	"ENSG00000262953"	"EIF4A1P9"	NA
"61"	"ENSG00000254819"	""	NA
"62"	"ENSG00000275223"	""	NA
"63"	"ENSG00000256892"	"MTRNR2L7"	100288485
"64"	"ENSG00000235821"	"IFITM4P"	NA
"65"	"ENSG00000267201"	"LINC01775"	101928602
"66"	"ENSG00000251074"	""	NA
"67"	"ENSG00000091986"	"CCDC80"	151887
"68"	"ENSG00000241505"	""	NA
"69"	"ENSG00000161904"	"LEMD2"	221496
"70"	"ENSG00000198015"	"MRPL42"	28977
"71"	"ENSG00000180353"	"HCLS1"	3059
"72"	"ENSG00000226466"	"RPA2P2"	NA
"73"	"ENSG00000229097"	"CALM2P2"	NA
"74"	"ENSG00000187812"	""	NA
"75"	"ENSG00000204267"	"TAP2"	6891
"76"	"ENSG00000149541"	"B3GAT3"	26229
"77"	"ENSG00000105664"	"COMP"	1311
"78"	"ENSG00000136381"	"IREB2"	3658
"79"	"ENSG00000259945"	""	NA
"80"	"ENSG00000174292"	"TNK1"	8711
"81"	"ENSG00000131584"	"ACAP3"	116983
"82"	"ENSG00000254836"	""	NA
"83"	"ENSG00000237457"	"LINC01351"	NA
"84"	"ENSG00000272128"	""	NA
"85"	"ENSG00000235436"	"DPY19L2P4"	442523
"86"	"ENSG00000226041"	""	NA
"87"	"ENSG00000228061"	""	NA
"88"	"ENSG00000253396"	""	105379391
"89"	"ENSG00000253896"	""	NA
"90"	"ENSG00000079332"	"SAR1A"	56681
"91"	"ENSG00000213846"	""	NA
"92"	"ENSG00000272236"	""	NA
"93"	"ENSG00000261405"	""	NA
"94"	"ENSG00000230132"	""	NA
"95"	"ENSG00000243417"	""	NA
"96"	"ENSG00000271578"	""	NA
"97"	"ENSG00000229553"	"USP9YP17"	NA
"98"	"ENSG00000240669"	""	NA
"99"	"ENSG00000280271"	""	NA
"100"	"ENSG00000039523"	"RIPOR1"	79567
"101"	"ENSG00000175189"	"INHBC"	3626
"102"	"ENSG00000270896"	""	NA
"103"	"ENSG00000198354"	"DCAF12L2"	340578
"104"	"ENSG00000164740"	"SEPT7P5"	NA
